game_date,win,efg_pct,opp_efg_pct,oreb_pct,opp_oreb_pct,tov_pct,opp_tov_pct,ftm_rate,opp_ftm_rate
2/8/2023,FALSE,0.583,0.506,0.174,0.349,0.116,0.137,0.256410256,0.455696203
1/20/2023,FALSE,0.488,0.699,0.431,0.324,0.206,0.18,0.345238095,0.21686747
1/29/2023,FALSE,0.513,0.534,0.364,0.404,0.198,0.099,0.240506329,0.191011236
3/25/2023,FALSE,0.615,0.63,0.364,0.488,0.167,0.127,0.125,0.229166667
10/31/2022,FALSE,0.534,0.606,0.333,0.211,0.231,0.19,0.183908046,0.2375
1/4/2023,FALSE,0.542,0.561,0.353,0.327,0.124,0.105,0.242105263,0.193877551
11/30/2022,FALSE,0.46,0.589,0.231,0.271,0.132,0.158,0.22,0.263157895
10/29/2022,TRUE,0.548,0.585,0.446,0.163,0.124,0.094,0.234042553,0.243902439
2/25/2023,TRUE,0.561,0.422,0.255,0.368,0.098,0.14,0.101010101,0.355555556
3/20/2023,FALSE,0.506,0.511,0.396,0.283,0.216,0.107,0.317073171,0.255555556
1/18/2023,FALSE,0.479,0.591,0.466,0.327,0.224,0.181,0.170212766,0.172043011
12/7/2022,FALSE,0.599,0.516,0.156,0.449,0.181,0.217,0.222222222,0.268817204
1/25/2023,FALSE,0.571,0.652,0.417,0.41,0.175,0.188,0.270588235,0.231707317
3/16/2023,TRUE,0.67,0.59,0.217,0.239,0.094,0.113,0.092783505,0.202247191
11/27/2022,FALSE,0.431,0.479,0.203,0.389,0.121,0.167,0.20212766,0.255319149
12/5/2022,TRUE,0.561,0.473,0.308,0.267,0.17,0.12,0.122222222,0.159574468
1/21/2023,FALSE,0.443,0.484,0.306,0.322,0.142,0.143,0.229166667,0.263736264
10/24/2022,FALSE,0.489,0.594,0.382,0.205,0.138,0.086,0.2,0.3125
12/23/2022,TRUE,0.608,0.5,0.267,0.352,0.172,0.106,0.120481928,0.136842105
12/16/2022,FALSE,0.594,0.592,0.184,0.244,0.108,0.109,0.2125,0.368421053
10/28/2022,TRUE,0.599,0.547,0.25,0.234,0.139,0.129,0.37037037,0.26744186
1/16/2023,FALSE,0.625,0.654,0.119,0.267,0.157,0.139,0.166666667,0.142857143
12/4/2022,FALSE,0.495,0.587,0.269,0.298,0.153,0.152,0.10989011,0.174418605
11/18/2022,TRUE,0.476,0.372,0.269,0.362,0.155,0.175,0.256097561,0.313953488
12/21/2022,TRUE,0.561,0.45,0.241,0.453,0.136,0.165,0.071428571,0.207920792
2/28/2023,TRUE,0.596,0.571,0.15,0.275,0.092,0.07,0.397435897,0.197802198
3/22/2023,TRUE,0.63,0.478,0.27,0.333,0.182,0.102,0.272727273,0.325842697
3/24/2023,FALSE,0.488,0.57,0.163,0.231,0.163,0.144,0.154761905,0.150537634
4/9/2023,TRUE,0.624,0.551,0.196,0.367,0.135,0.135,0.337078652,0.157407407
3/11/2023,TRUE,0.511,0.516,0.352,0.268,0.131,0.114,0.279569892,0.191489362
4/2/2023,FALSE,0.488,0.539,0.306,0.292,0.168,0.13,0.289156627,0.2
3/2/2023,FALSE,0.5,0.51,0.18,0.352,0.136,0.168,0.1,0.102040816
12/2/2022,FALSE,0.5,0.645,0.228,0.293,0.164,0.226,0.293478261,0.385542169
10/26/2022,FALSE,0.523,0.586,0.327,0.289,0.194,0.175,0.220930233,0.252873563
3/5/2023,TRUE,0.596,0.676,0.319,0.258,0.096,0.161,0.138297872,0.297297297
2/11/2023,FALSE,0.526,0.72,0.4,0.393,0.087,0.198,0.136842105,0.253333333
3/13/2023,FALSE,0.477,0.55,0.302,0.434,0.163,0.153,0.174418605,0.07
11/16/2022,TRUE,0.604,0.521,0.205,0.373,0.135,0.171,0.317073171,0.159574468
11/28/2022,TRUE,0.49,0.489,0.333,0.321,0.097,0.137,0.123809524,0.258064516
1/11/2023,FALSE,0.544,0.542,0.18,0.292,0.126,0.146,0.166666667,0.333333333
12/26/2022,FALSE,0.476,0.522,0.157,0.404,0.134,0.163,0.168674699,0.211111111
2/23/2023,FALSE,0.638,0.606,0.304,0.431,0.143,0.144,0.191489362,0.222222222
1/6/2023,TRUE,0.494,0.452,0.146,0.263,0.132,0.17,0.297619048,0.14893617
12/12/2022,FALSE,0.424,0.44,0.273,0.245,0.191,0.151,0.189873418,0.168674699
11/21/2022,TRUE,0.576,0.488,0.333,0.275,0.21,0.168,0.279069767,0.223529412
2/3/2023,TRUE,0.545,0.506,0.24,0.231,0.171,0.192,0.112359551,0.197674419
12/29/2022,TRUE,0.676,0.583,0.162,0.375,0.091,0.112,0.235294118,0.145833333
4/5/2023,FALSE,0.603,0.61,0.289,0.472,0.163,0.17,0.275862069,0.16
1/13/2023,FALSE,0.431,0.521,0.406,0.364,0.121,0.14,0.237623762,0.159574468
12/31/2022,TRUE,0.602,0.638,0.273,0.211,0.118,0.158,0.284090909,0.35
10/19/2022,FALSE,0.479,0.516,0.29,0.353,0.144,0.162,0.144329897,0.206521739
1/2/2023,TRUE,0.538,0.527,0.438,0.259,0.131,0.112,0.23655914,0.197802198
12/9/2022,TRUE,0.612,0.597,0.409,0.317,0.13,0.154,0.2,0.246753247
11/9/2022,FALSE,0.542,0.557,0.264,0.277,0.162,0.202,0.15625,0.272727273
1/14/2023,FALSE,0.422,0.621,0.369,0.19,0.179,0.143,0.242718447,0.252873563
2/10/2023,FALSE,0.488,0.516,0.264,0.451,0.15,0.167,0.247058824,0.225806452
3/18/2023,FALSE,0.586,0.699,0.372,0.189,0.173,0.082,0.218390805,0.204545455
11/23/2022,FALSE,0.469,0.662,0.3,0.323,0.13,0.23,0.114583333,0.168831169
3/9/2023,TRUE,0.57,0.486,0.208,0.438,0.108,0.152,0.2,0.196261682
11/19/2022,TRUE,0.556,0.516,0.353,0.339,0.155,0.112,0.155555556,0.208791209
12/10/2022,FALSE,0.676,0.565,0.244,0.547,0.181,0.171,0.211764706,0.23
2/13/2023,FALSE,0.566,0.594,0.184,0.364,0.109,0.186,0.153846154,0.258823529
4/7/2023,FALSE,0.56,0.561,0.261,0.245,0.181,0.124,0.265060241,0.233333333
11/25/2022,TRUE,0.57,0.619,0.196,0.143,0.095,0.181,0.348837209,0.090909091
12/14/2022,TRUE,0.598,0.547,0.178,0.326,0.165,0.222,0.24137931,0.290697674
11/12/2022,TRUE,0.616,0.431,0.349,0.3,0.206,0.119,0.207317073,0.244680851
2/2/2023,FALSE,0.57,0.489,0.167,0.286,0.152,0.124,0.053763441,0.239130435
1/8/2023,TRUE,0.511,0.494,0.264,0.321,0.155,0.173,0.310344828,0.272727273
1/27/2023,FALSE,0.624,0.622,0.116,0.358,0.118,0.144,0.224719101,0.193877551
3/31/2023,TRUE,0.52,0.5,0.414,0.265,0.152,0.105,0.193877551,0.329545455
2/5/2023,FALSE,0.478,0.608,0.286,0.279,0.133,0.133,0.163043478,0.170454545
12/27/2022,TRUE,0.582,0.517,0.271,0.173,0.124,0.086,0.239130435,0.247191011
11/7/2022,TRUE,0.628,0.567,0.289,0.28,0.167,0.099,0.244186047,0.12371134
3/6/2023,FALSE,0.672,0.683,0.214,0.229,0.086,0.114,0.244444444,0.426829268
2/15/2023,TRUE,0.585,0.577,0.233,0.178,0.188,0.141,0.256097561,0.19047619
10/21/2022,FALSE,0.543,0.648,0.377,0.209,0.142,0.153,0.201923077,0.395061728
10/22/2022,TRUE,0.515,0.484,0.371,0.371,0.108,0.136,0.174757282,0.242105263
11/4/2022,TRUE,0.538,0.451,0.174,0.24,0.188,0.184,0.1875,0.320987654
12/18/2022,FALSE,0.506,0.518,0.309,0.319,0.152,0.163,0.166666667,0.277108434
1/24/2023,TRUE,0.475,0.517,0.356,0.327,0.08,0.16,0.222222222,0.215909091
3/27/2023,FALSE,0.462,0.675,0.393,0.189,0.143,0.133,0.193548387,0.180722892
3/29/2023,FALSE,0.594,0.677,0.196,0.421,0.073,0.176,0.158415842,0.247311828
